                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1805,                 3.6356,                 1.2028,                0.54417,                0.31493,                0.21685,                0.13893,                0.99747,                 7.8545,                0.65811,               6.25e-05,               6.25e-05,               6.25e-05
                      2,                0.88583,                   2.12,                 1.0358,                0.50802,                0.22511,                0.21848,                0.15792,                0.68618,                  7.412,                0.60129,             0.00013614,             0.00013614,             0.00013614
                      3,                 0.7047,                 1.5154,                0.95179,                0.47281,                0.20775,                0.19876,                0.14535,                0.59485,                  3.949,                0.55151,             0.00020829,             0.00020829,             0.00020829
                      4,                0.62385,                  1.185,                0.90583,                 0.5958,                0.15872,                0.16437,                 0.1235,                0.58791,                 2.8672,                0.53479,             0.00027896,             0.00027896,             0.00027896
                      5,                0.65491,                 1.0913,                0.90216,                  0.779,                0.17643,                0.18485,                0.13629,                0.72056,                 2.1096,                0.54808,             0.00034815,             0.00034815,             0.00034815
                      6,                 0.5932,                0.91202,                0.88827,                0.88396,                 0.1679,                0.17356,                0.13819,                0.53887,                 1.7649,                0.52337,             0.00041584,             0.00041584,             0.00041584
                      7,                0.58167,                0.78754,                0.88058,                0.83085,                0.17246,                0.17994,                0.13893,                 0.5362,                 1.5178,                0.52778,             0.00048206,             0.00048206,             0.00048206
                      8,                0.60708,                  0.759,                0.88907,                0.75139,                0.13334,                0.13611,                0.10922,                0.60966,                 1.6696,                0.53271,             0.00054679,             0.00054679,             0.00054679
                      9,                0.58831,                0.73987,                0.89917,                0.83457,                0.09074,                0.10143,                 0.0868,                0.53777,                 1.3134,                0.52891,             0.00061003,             0.00061003,             0.00061003
                     10,                0.59548,                0.68598,                0.89101,                 0.8351,                0.09866,                 0.1089,                0.09209,                0.52604,                 1.5266,                0.54095,             0.00067179,             0.00067179,             0.00067179
                     11,                 0.5674,                0.68212,                0.89484,                0.91441,                0.09898,                0.10942,                0.09091,                0.54724,                 1.2557,                0.54532,             0.00073206,             0.00073206,             0.00073206
                     12,                0.54678,                0.71234,                0.87687,                 0.7554,                0.09803,                0.11141,                 0.0895,                0.60993,                 1.5977,                 0.5805,             0.00079085,             0.00079085,             0.00079085
                     13,                0.54341,                0.62335,                0.87914,                0.72477,                0.09898,                 0.1151,                0.09311,                0.61919,                 1.4625,                0.60147,             0.00084816,             0.00084816,             0.00084816
                     14,                0.61208,                0.62019,                0.89989,                 0.6506,                0.09898,                0.10493,                0.08581,                0.60597,                 1.7264,                0.55523,             0.00090397,             0.00090397,             0.00090397
                     15,                0.57369,                0.63515,                0.85711,                0.55897,                0.11963,                0.13007,                0.10478,                0.59143,                 1.5515,                0.53491,             0.00095831,             0.00095831,             0.00095831
                     16,                 0.5953,                0.59785,                0.89465,                0.84893,                0.13864,                0.16134,                0.13429,                0.51482,                  1.636,                0.53889,              0.0010112,              0.0010112,              0.0010112
                     17,                0.55523,                0.62656,                0.88202,                0.77645,                 0.1418,                0.16004,                0.13094,                0.51322,                 1.3197,                0.52891,               0.001052,               0.001052,               0.001052
                     18,                 0.6063,                 0.6459,                0.89115,                0.80187,                0.10731,                 0.1196,                0.09869,                0.54259,                 1.7298,                0.54259,              0.0010396,              0.0010396,              0.0010396
                     19,                0.55535,                0.55688,                0.88815,                0.54246,                0.10336,                0.11692,                0.09662,                0.54294,                 1.5168,                0.54849,              0.0010273,              0.0010273,              0.0010273
